suburb,state,lga
TYRRELL DOWNS,VIC,BULOKE (SHIRE)
UARBRY,NSW,WARRUMBUNGLE SHIRE (AREA)
UCARTY,WA,DOWERIN (SHIRE)
UCARTY WEST,WA,GOOMALLING (SHIRE)
UCOLTA,SA,PETERBOROUGH (DISTRICT COUNCIL)
UDUC,WA,HARVEY (SHIRE)
UGAR ISLAND,QLD,TORRES STRAIT ISLAND (REGIONAL COUNCIL)
UKI,NSW,TWEED (AREA)
ULAMAMBRI,NSW,WARRUMBUNGLE SHIRE (AREA)
ULAN,NSW,MID-WESTERN REGIONAL (AREA)
ULARRING,WA,MENZIES (SHIRE)
ULEY,SA,LOWER EYRE PENINSULA (DISTRICT COUNCIL)
ULEYBURY,SA,PLAYFORD (CITY)
ULLADULLA,NSW,SHOALHAVEN (CITY)
ULLINA,VIC,HEPBURN (SHIRE)
ULLSWATER,VIC,WEST WIMMERA (SHIRE)
ULMARRA,NSW,CLARENCE VALLEY (AREA)
ULOGIE,QLD,BANANA (SHIRE)
ULONG,NSW,COFFS HARBOUR (CITY)
ULOOLOO,SA,GOYDER (DISTRICT COUNCIL)
ULTIMA,VIC,SWAN HILL (RURAL CITY)
ULTIMA EAST,VIC,SWAN HILL (RURAL CITY)
ULTIMO,NSW,SYDNEY (CITY)
ULUPNA,VIC,MOIRA (SHIRE)
ULVERSTONE,TAS,CENTRAL COAST (MUNICIPALITY)
ULYERRA,SA,ELLISTON (DISTRICT COUNCIL)
UMAGICO,QLD,NORTHERN PENINSULA AREA (REGIONAL COUNCIL)
UMBAKUMBA,NT,EAST ARNHEM (REGIONAL COUNCIL)
UMBIRAM,QLD,TOOWOOMBA (REGIONAL COUNCIL)
UMINA BEACH,NSW,CENTRAL COAST (CITY)
UNANDERRA,NSW,WOLLONGONG (CITY)
UNDALYA,SA,CLARE AND GILBERT VALLEYS (DISTRICT COUNCIL)
UNDERA,VIC,GREATER SHEPPARTON (CITY)
UNDERBANK,NSW,DUNGOG (AREA)
UNDERBOOL,VIC,MILDURA (RURAL CITY)
UNDERCLIFFE,NSW,TENTERFIELD (AREA)
UNDERDALE,SA,WEST TORRENS (CITY)
UNDERWOOD,QLD,LOGAN (CITY)
UNDERWOOD,TAS,LAUNCESTON (CITY)
UNDOOLYA,NT,ALICE SPRINGS (TOWN)
UNDULLAH,QLD,LOGAN (CITY)
UNGARIE,NSW,BLAND (AREA)
UNGARRA,SA,TUMBY BAY (DISTRICT COUNCIL)
UNLEY,SA,UNLEY (CITY)
UNLEY PARK,SA,UNLEY (CITY)
UNO,SA,UNINCORPORATED
UNUMGAR,NSW,KYOGLE (AREA)
UPLAND,QLD,BARCALDINE (REGIONAL COUNCIL)
UPOTIPOTPON,VIC,STRATHBOGIE (SHIRE)
UPPER ALLYN,NSW,DUNGOG (AREA)
UPPER BARRON,QLD,TABLELANDS (REGIONAL COUNCIL)
UPPER BINGARA,NSW,GWYDIR (AREA)
UPPER BLESSINGTON,TAS,LAUNCESTON (CITY)
UPPER BROOKFIELD,QLD,BRISBANE (CITY)
UPPER BURNIE,TAS,BURNIE (CITY)
UPPER BURRINGBAR,NSW,TWEED (AREA)
UPPER BYLONG,NSW,MID-WESTERN REGIONAL (AREA)
UPPER CABOOLTURE,QLD,MORETON BAY (REGIONAL COUNCIL)
UPPER CAPEL,WA,DONNYBROOK-BALINGUP (SHIRE)
UPPER CASTRA,TAS,CENTRAL COAST (MUNICIPALITY)
UPPER COLO,NSW,HAWKESBURY (CITY)
UPPER COOMERA,QLD,GOLD COAST (CITY)
UPPER COOPERS CREEK,NSW,BYRON (AREA)
UPPER COOYAR CREEK,QLD,TOOWOOMBA (REGIONAL COUNCIL)
UPPER COPMANHURST,NSW,CLARENCE VALLEY (AREA)
UPPER CORINDI,NSW,COFFS HARBOUR (CITY)
UPPER CORNISH CREEK,QLD,BARCALDINE (REGIONAL COUNCIL)
UPPER CRYSTAL CREEK,NSW,TWEED (AREA)
UPPER DAINTREE,QLD,DOUGLAS (SHIRE)
UPPER DARADGEE,QLD,CASSOWARY COAST (REGIONAL COUNCIL)
UPPER DARTBROOK,NSW,UPPER HUNTER SHIRE (AREA)
UPPER DAWSON,QLD,MARANOA (REGIONAL COUNCIL)
UPPER DUCK CREEK,NSW,KYOGLE (AREA)
UPPER DUROBY,NSW,TWEED (AREA)
UPPER EDEN CREEK,NSW,KYOGLE (AREA)
UPPER ESK,TAS,DORSET (MUNICIPALITY)
UPPER FERNTREE GULLY,VIC,KNOX (CITY)
UPPER FINE FLOWER,NSW,CLARENCE VALLEY (AREA)
UPPER FLAGSTONE,QLD,LOCKYER VALLEY (REGIONAL COUNCIL)
UPPER FREESTONE,QLD,SOUTHERN DOWNS (REGIONAL COUNCIL)
UPPER GLASTONBURY,QLD,GYMPIE (REGIONAL COUNCIL)
UPPER GROWEE,NSW,MID-WESTERN REGIONAL (AREA)
UPPER GUNDOWRING,VIC,ALPINE (SHIRE)
UPPER HAUGHTON,QLD,BURDEKIN (SHIRE)
UPPER HERMITAGE,SA,ADELAIDE HILLS (DISTRICT COUNCIL)
UPPER HORSESHOE CREEK,NSW,KYOGLE (AREA)
UPPER HORTON,NSW,GWYDIR (AREA)
UPPER KANDANGA,QLD,GYMPIE (REGIONAL COUNCIL)
UPPER KANGAROO RIVER,NSW,KIAMA (AREA)
UPPER KANGAROO VALLEY,NSW,KIAMA (AREA)
UPPER KARUAH RIVER,NSW,MID-COAST (AREA)
UPPER KEDRON,QLD,BRISBANE (CITY)
UPPER LANSDOWNE,NSW,MID-COAST (AREA)
UPPER LOCKYER,QLD,LOCKYER VALLEY (REGIONAL COUNCIL)
UPPER LURG,VIC,BENALLA (RURAL CITY)
UPPER MACDONALD,NSW,HAWKESBURY (CITY)
UPPER MAIN ARM,NSW,BYRON (AREA)
UPPER MANGROVE,NSW,CENTRAL COAST (CITY)
UPPER MANILLA,NSW,TAMWORTH REGIONAL (AREA)
UPPER MONGOGARIE,NSW,RICHMOND VALLEY (AREA)
UPPER MOUNT GRAVATT,QLD,BRISBANE (CITY)
UPPER MURRAY,WA,BODDINGTON (SHIRE)
UPPER MYALL,NSW,MID-COAST (AREA)
UPPER NATONE,TAS,BURNIE (CITY)
UPPER NILE,NSW,LITHGOW (CITY)
UPPER ORARA,NSW,COFFS HARBOUR (CITY)
UPPER PAPPINBARRA,NSW,PORT MACQUARIE-HASTINGS (AREA)
UPPER PILTON,QLD,TOOWOOMBA (REGIONAL COUNCIL)
UPPER PINELANDS,QLD,TOOWOOMBA (REGIONAL COUNCIL)
UPPER PLENTY,VIC,MITCHELL (SHIRE)
UPPER ROLLANDS PLAINS,NSW,PORT MACQUARIE-HASTINGS (AREA)
UPPER ROUCHEL,NSW,UPPER HUNTER SHIRE (AREA)
UPPER RYANS CREEK,VIC,BENALLA (RURAL CITY)
UPPER SCAMANDER,TAS,BREAK O'DAY (MUNICIPALITY)
UPPER STONE,QLD,HINCHINBROOK (SHIRE)
UPPER STOWPORT,TAS,BURNIE (CITY)
UPPER STURT,SA,ADELAIDE HILLS (DISTRICT COUNCIL)
UPPER SWAN,WA,SWAN (CITY)
UPPER TAYLORS ARM,NSW,NAMBUCCA (AREA)
UPPER TENTHILL,QLD,LOCKYER VALLEY (REGIONAL COUNCIL)
UPPER TOOLOOM,NSW,TENTERFIELD (AREA)
UPPER TURON,NSW,BATHURST REGIONAL (AREA)
UPPER WARREGO,QLD,MURWEH (SHIRE)
UPPER WARREN,WA,MANJIMUP (SHIRE)
UPPER WHEATVALE,QLD,SOUTHERN DOWNS (REGIONAL COUNCIL)
UPPER WILSONS CREEK,NSW,BYRON (AREA)
UPPER WOODSTOCK,TAS,HUON VALLEY (MUNICIPALITY)
UPPER YARRAMAN,QLD,TOOWOOMBA (REGIONAL COUNCIL)
UPSALLS CREEK,NSW,PORT MACQUARIE-HASTINGS (AREA)
UPTON HILL,VIC,STRATHBOGIE (SHIRE)
UPWEY,VIC,YARRA RANGES (SHIRE)
URAIDLA,SA,ADELAIDE HILLS (DISTRICT COUNCIL)
URALBA,NSW,BALLINA (AREA)
URALLA,NSW,URALLA (AREA)
URALLA,NT,KATHERINE (TOWN)
URANA,NSW,LOCKHART (AREA)
URANGAN,QLD,FRASER COAST (REGIONAL COUNCIL)
URANGELINE,NSW,LOCKHART (AREA)
URANGELINE EAST,NSW,LOCKHART (AREA)
URANIA,SA,YORKE PENINSULA (DISTRICT COUNCIL)
URANQUINTY,NSW,WAGGA WAGGA (CITY)
URAWILKIE,NSW,COONAMBLE (AREA)
URBENVILLE,NSW,KYOGLE (AREA)
URIARRA,NSW,SNOWY VALLEYS (AREA)
URIARRA VILLAGE,ACT,UNINCORPORATED
URILA,NSW,QUEANBEYAN-PALERANG REGIONAL (AREA)
URLIUP,NSW,TWEED (AREA)
URRAWEEN,QLD,FRASER COAST (REGIONAL COUNCIL)
URRBRAE,SA,MITCHAM (CITY)
URUNGA,NSW,BELLINGEN (AREA)
USELESS LOOP,WA,SHARK BAY (SHIRE)
USHER,WA,BUNBURY (CITY)
UTAKARRA,WA,GREATER GERALDTON (CITY)
UTCHEE CREEK,QLD,CASSOWARY COAST (REGIONAL COUNCIL)
UTUNGUN,NSW,NAMBUCCA (AREA)
UWORRA,SA,CEDUNA (DISTRICT COUNCIL)
UXBRIDGE,TAS,DERWENT VALLEY (MUNICIPALITY)
V GATE,QLD,MARANOA (REGIONAL COUNCIL)
VACY,NSW,DUNGOG (AREA)
VALDORA,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
VALE OF CLWYDD,NSW,LITHGOW (CITY)
VALE PARK,SA,WALKERVILLE (MUNICIPALITY)
VALE VIEW,QLD,TOOWOOMBA (REGIONAL COUNCIL)
VALENCIA CREEK,VIC,WELLINGTON (SHIRE)
VALENTINE,NSW,LAKE MACQUARIE (CITY)
VALENTINE PLAINS,QLD,BANANA (SHIRE)
VALERY,NSW,BELLINGEN (AREA)
VALKYRIE,QLD,ISAAC (REGIONAL COUNCIL)
VALLA,NSW,BELLINGEN (AREA)
VALLA BEACH,NSW,NAMBUCCA (AREA)
VALLEY HEIGHTS,NSW,BLUE MOUNTAINS (CITY)
VALLEY OF LAGOONS,QLD,CHARTERS TOWERS (REGIONAL COUNCIL)
VALLEY VIEW,SA,PORT ADELAIDE ENFIELD (CITY)
VAN DIEMEN GULF,NT,UNINCORPORATED
VANCOUVER PENINSULA,WA,ALBANY (CITY)
VARLEY,WA,LAKE GRACE (SHIRE)
VARROVILLE,NSW,CAMPBELLTOWN (CITY)
VARSITY LAKES,QLD,GOLD COAST (CITY)
VASA VIEWS,QLD,CASSOWARY COAST (REGIONAL COUNCIL)
VASEY,VIC,SOUTHERN GRAMPIANS (SHIRE)
VASSE,WA,BUSSELTON (CITY)
VAUCLUSE,NSW,WAVERLEY (AREA)
VAUGHAN,VIC,MOUNT ALEXANDER (SHIRE)
VECTIS,VIC,HORSHAM (RURAL CITY)
VEITCH,SA,LOXTON WAIKERIE (DISTRICT COUNCIL)
VENN,NT,KATHERINE (TOWN)
VENTNOR,QLD,NORTH BURNETT (REGIONAL COUNCIL)
VENTNOR,VIC,BASS COAST (SHIRE)
VENUS BAY,SA,ELLISTON (DISTRICT COUNCIL)
VENUS BAY,VIC,SOUTH GIPPSLAND (SHIRE)
VERADILLA,QLD,LOCKYER VALLEY (REGIONAL COUNCIL)
VERDUN,SA,ADELAIDE HILLS (DISTRICT COUNCIL)
VERESDALE,QLD,SCENIC RIM (REGIONAL COUNCIL)
VERESDALE SCRUB,QLD,LOGAN (CITY)
VERGEMONT,QLD,LONGREACH (REGIONAL COUNCIL)
VERGES CREEK,NSW,KEMPSEY (AREA)
VERMONT,VIC,MAROONDAH (CITY)
VERMONT SOUTH,VIC,WHITEHORSE (CITY)
VERNON ISLANDS,NT,UNINCORPORATED
VERNOR,QLD,SOMERSET (REGIONAL COUNCIL)
VERONA,NSW,BEGA VALLEY (AREA)
VERONA SANDS,TAS,HUON VALLEY (MUNICIPALITY)
VERRAN,SA,CLEVE (DISTRICT COUNCIL)
VERRIERDALE,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
VERVALE,VIC,CARDINIA (SHIRE)
VESPER,VIC,BAW BAW (SHIRE)
VETERAN,QLD,GYMPIE (REGIONAL COUNCIL)
VICTOR HARBOR,SA,VICTOR HARBOR (CITY)
VICTORIA HILL,QLD,TOOWOOMBA (REGIONAL COUNCIL)
VICTORIA PARK,WA,VICTORIA PARK (TOWN)
VICTORIA PLAINS,QLD,MACKAY (REGIONAL COUNCIL)
VICTORIA PLANTATION,QLD,HINCHINBROOK (SHIRE)
VICTORIA POINT,QLD,REDLAND (CITY)
VICTORIA POINT,VIC,SOUTHERN GRAMPIANS (SHIRE)
VICTORIA RIVER,NT,VICTORIA DALY (REGIONAL COUNCIL)
VICTORIA ROCK,WA,COOLGARDIE (SHIRE)
VICTORIA VALE,QLD,CROYDON (SHIRE)
VICTORIA VALLEY,TAS,CENTRAL HIGHLANDS (MUNICIPALITY)
VICTORIA VALLEY,VIC,SOUTHERN GRAMPIANS (SHIRE)
VICTORY HEIGHTS,QLD,GYMPIE (REGIONAL COUNCIL)
VICTORY HEIGHTS,WA,KALGOORLIE/BOULDER (CITY)
VIEWBANK,VIC,BANYULE (CITY)
VILLAWOOD,NSW,CANTERBURY-BANKSTOWN (AREA)
VILLENEUVE,QLD,SOMERSET (REGIONAL COUNCIL)
VINCENT,QLD,TOWNSVILLE (CITY)
VINCENTIA,NSW,SHOALHAVEN (CITY)
VINE VALE,SA,BAROSSA (DISTRICT COUNCIL)
VINEGAR HILL,QLD,LOCKYER VALLEY (REGIONAL COUNCIL)
VINEYARD,NSW,HAWKESBURY (CITY)
VINIFERA,VIC,SWAN HILL (RURAL CITY)
VIOLET HILL,NSW,MID-COAST (AREA)
VIOLET TOWN,VIC,GREATER SHEPPARTON (CITY)
VIRGINIA,NT,LITCHFIELD (MUNICIPALITY)
VIRGINIA,QLD,BRISBANE (CITY)
VIRGINIA,SA,PLAYFORD (CITY)
VISTA,SA,TEA TREE GULLY (CITY)
VITE VITE,VIC,CORANGAMITE (SHIRE)
VITE VITE NORTH,VIC,CORANGAMITE (SHIRE)
VITTORIA,NSW,BATHURST REGIONAL (AREA)
VITTORIA,WA,BUNBURY (CITY)
VIVEASH,WA,SWAN (CITY)
VIVONNE BAY,SA,KANGAROO ISLAND (DISTRICT COUNCIL)
VOYAGER POINT,NSW,LIVERPOOL (CITY)
W TREE,VIC,EAST GIPPSLAND (SHIRE)
WAAIA,VIC,MOIRA (SHIRE)
WAANYARRA,VIC,LODDON (SHIRE)
WAARRE,VIC,CORANGAMITE (SHIRE)
WABONGA,VIC,WANGARATTA (RURAL CITY)
WACOL,QLD,BRISBANE (CITY)
WADALBA,NSW,CENTRAL COAST (CITY)
WADBILLIGA,NSW,BEGA VALLEY (AREA)
WADDAMANA,TAS,CENTRAL HIGHLANDS (MUNICIPALITY)
WADDERIN,WA,NAREMBEEN (SHIRE)
WADDIKEE,SA,CLEVE (DISTRICT COUNCIL)
WADDINGTON,WA,VICTORIA PLAINS (SHIRE)
WADDY FOREST,WA,COOROW (SHIRE)
WADEVILLE,NSW,KYOGLE (AREA)
WADEYE,NT,WEST DALY (REGIONAL COUNCIL)
WAEEL,WA,CUNDERDIN (SHIRE)
WAGAIT BEACH,NT,UNINCORPORATED
WAGAMAN,NT,DARWIN (CITY)
WAGERUP,WA,WAROONA (SHIRE)
WAGGA WAGGA,NSW,WAGGA WAGGA (CITY)
WAGGARANDALL,VIC,MOIRA (SHIRE)
WAGGRAKINE,WA,CHAPMAN VALLEY (SHIRE)
WAGIN,WA,WAGIN (SHIRE)
WAGSTAFFE,NSW,CENTRAL COAST (CITY)
WAHGUNYAH,VIC,INDIGO (SHIRE)
WAHOON,QLD,NORTH BURNETT (REGIONAL COUNCIL)
WAHRING,VIC,STRATHBOGIE (SHIRE)
WAHROONGA,NSW,HORNSBY (AREA)
WAIKERIE,SA,LOXTON WAIKERIE (DISTRICT COUNCIL)
WAIKIKI,WA,ROCKINGHAM (CITY)
WAIKOLA,QLD,WESTERN DOWNS (REGIONAL COUNCIL)
WAIL,VIC,HORSHAM (RURAL CITY)
WAINUI,QLD,TOOWOOMBA (REGIONAL COUNCIL)
WAIREWA,VIC,EAST GIPPSLAND (SHIRE)
WAIRUNA,QLD,TABLELANDS (REGIONAL COUNCIL)
WAITARA,NSW,HORNSBY (AREA)
WAITCHIE,VIC,SWAN HILL (RURAL CITY)
WAITPINGA,SA,VICTOR HARBOR (CITY)
WAITUI,NSW,MID-COAST (AREA)
WAK WAK,NT,LITCHFIELD (MUNICIPALITY)
WAKEFIELD,NSW,LAKE MACQUARIE (CITY)
WAKELEY,NSW,FAIRFIELD (CITY)
WAKERLEY,QLD,BRISBANE (CITY)
WAKOOL,NSW,MURRAY RIVER (AREA)
WAL WAL,VIC,NORTHERN GRAMPIANS (SHIRE)
WALANG,NSW,BATHURST REGIONAL (AREA)
WALBUNDRIE,NSW,GREATER HUME SHIRE (AREA)
WALCHA,NSW,WALCHA (AREA)
WALCHA ROAD,NSW,WALCHA (AREA)
WALDARA,VIC,WANGARATTA (RURAL CITY)
WALDEGRAVE,NSW,CABONNE (AREA)
WALEBING,WA,MOORA (SHIRE)
WALGETT,NSW,WALGETT (AREA)
WALGOOLAN,WA,WESTONIA (SHIRE)
WALHALLA,VIC,WELLINGTON (SHIRE)
WALHALLA EAST,VIC,WELLINGTON (SHIRE)
WALHALLOW,QLD,MARANOA (REGIONAL COUNCIL)
WALKAMIN,QLD,TABLELANDS (REGIONAL COUNCIL)
WALKAWAY,WA,GREATER GERALDTON (CITY)
WALKER FLAT,SA,MID MURRAY (DISTRICT COUNCIL)
WALKERS POINT,QLD,FRASER COAST (REGIONAL COUNCIL)
WALKERSTON,QLD,MACKAY (REGIONAL COUNCIL)
WALKERVALE,QLD,BUNDABERG (REGIONAL COUNCIL)
WALKERVILLE,SA,WALKERVILLE (MUNICIPALITY)
WALKERVILLE,VIC,SOUTH GIPPSLAND (SHIRE)
WALKERVILLE NORTH,VIC,SOUTH GIPPSLAND (SHIRE)
WALKERVILLE SOUTH,VIC,SOUTH GIPPSLAND (SHIRE)
WALKLEY HEIGHTS,SA,PORT ADELAIDE ENFIELD (CITY)
WALL FLAT,SA,MID MURRAY (DISTRICT COUNCIL)
WALLA WALLA,NSW,GREATER HUME SHIRE (AREA)
WALLABADAH,NSW,LIVERPOOL PLAINS (AREA)
WALLABI POINT,NSW,MID-COAST (AREA)
WALLACE,VIC,MOORABOOL (SHIRE)
WALLACE ROCKHOLE,NT,MACDONNELL (REGIONAL COUNCIL)
WALLACEDALE,VIC,GLENELG (SHIRE)
WALLACES CREEK,QLD,SCENIC RIM (REGIONAL COUNCIL)
WALLACETOWN,NSW,WAGGA WAGGA (CITY)
WALLACIA,NSW,LIVERPOOL (CITY)
WALLAGA LAKE,NSW,BEGA VALLEY (AREA)
WALLAGARAUGH,VIC,EAST GIPPSLAND (SHIRE)
WALLAGOOT,NSW,BEGA VALLEY (AREA)
WALLALA,SA,STREAKY BAY (DISTRICT COUNCIL)
WALLALONG,NSW,PORT STEPHENS (AREA)
WALLALOO,VIC,NORTHERN GRAMPIANS (SHIRE)
WALLALOO EAST,VIC,NORTHERN GRAMPIANS (SHIRE)
WALLAMAN,QLD,HINCHINBROOK (SHIRE)
WALLAMORE,NSW,TAMWORTH REGIONAL (AREA)
WALLAN,VIC,MITCHELL (SHIRE)
WALLANBAH,NSW,MID-COAST (AREA)
WALLANGARRA,QLD,SOUTHERN DOWNS (REGIONAL COUNCIL)
WALLANGRA,NSW,INVERELL (AREA)
WALLANTHERY,NSW,CARRATHOOL (AREA)
WALLARAH,NSW,CENTRAL COAST (CITY)
WALLAREENYA,WA,PORT HEDLAND (TOWN)
WALLARINGA,NSW,DUNGOG (AREA)
WALLAROBBA,NSW,DUNGOG (AREA)
WALLAROO,NSW,YASS VALLEY (AREA)
WALLAROO,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
WALLAROO,SA,COPPER COAST (DISTRICT COUNCIL)
WALLAROO,WA,COOLGARDIE (SHIRE)
WALLAROO MINES,SA,COPPER COAST (DISTRICT COUNCIL)
WALLAROO PLAIN,SA,COPPER COAST (DISTRICT COUNCIL)
WALLAVILLE,QLD,BUNDABERG (REGIONAL COUNCIL)
WALLENDBEEN,NSW,GUNDAGAI (AREA)
WALLERAWANG,NSW,LITHGOW (CITY)
WALLERBERDINA,SA,UNINCORPORATED
WALLEROOBIE,NSW,COOLAMON (AREA)
WALLIGAN,QLD,FRASER COAST (REGIONAL COUNCIL)
WALLINDUC,VIC,GOLDEN PLAINS (SHIRE)
WALLINGAT,NSW,MID-COAST (AREA)
WALLINGTON,VIC,GREATER GEELONG (CITY)
WALLIS LAKE,NSW,MID-COAST (AREA)
WALLISTON,WA,KALAMUNDA (SHIRE)
WALLOON,QLD,IPSWICH (CITY)
WALLOWAY,SA,ORROROO/CARRIETON (DISTRICT COUNCIL)
WALLS OF JERUSALEM,TAS,CENTRAL HIGHLANDS (MUNICIPALITY)
WALLSEND,NSW,NEWCASTLE (CITY)
WALLU,QLD,GYMPIE (REGIONAL COUNCIL)
WALLUMBILLA,QLD,MARANOA (REGIONAL COUNCIL)
WALLUMBILLA NORTH,QLD,MARANOA (REGIONAL COUNCIL)
WALLUMBILLA SOUTH,QLD,MARANOA (REGIONAL COUNCIL)
WALLUP,VIC,YARRIAMBIACK (SHIRE)
WALMER,NSW,WESTERN PLAINS REGIONAL (AREA)
WALMER,VIC,MOUNT ALEXANDER (SHIRE)
WALMSLEY,WA,ALBANY (CITY)
WALMUL,QLD,ROCKHAMPTON (REGIONAL COUNCIL)
WALPA,VIC,EAST GIPPSLAND (SHIRE)
WALPEUP,VIC,MILDURA (RURAL CITY)
WALPOLE,WA,MANJIMUP (SHIRE)
WALSALL,WA,BUSSELTON (CITY)
WALTER HILL,QLD,CASSOWARY COAST (REGIONAL COUNCIL)
WALTER LEVER ESTATE,QLD,CASSOWARY COAST (REGIONAL COUNCIL)
WALTERHALL,QLD,ROCKHAMPTON (REGIONAL COUNCIL)
WALTOWA,SA,THE COORONG (DISTRICT COUNCIL)
WALWA,VIC,TOWONG (SHIRE)
WALYORMOURING,WA,GOOMALLING (SHIRE)
WALYUNGA NATIONAL PARK,WA,SWAN (CITY)
WALYURIN,WA,KULIN (SHIRE)
WAMBAN,NSW,EUROBODALLA (AREA)
WAMBANGALANG,NSW,WESTERN PLAINS REGIONAL (AREA)
WAMBERAL,NSW,CENTRAL COAST (CITY)
WAMBOIN,NSW,QUEANBEYAN-PALERANG REGIONAL (AREA)
WAMBOOL,NSW,BATHURST REGIONAL (AREA)
WAMBROOK,NSW,SNOWY MONARO REGIONAL (AREA)
WAMENUSKING,WA,QUAIRADING (SHIRE)
WAMI KATA,SA,PORT AUGUSTA (CITY)
WAMURAN,QLD,MORETON BAY (REGIONAL COUNCIL)
WAMURAN BASIN,QLD,MORETON BAY (REGIONAL COUNCIL)
WANAARING,NSW,BOURKE (AREA)
WANBI,SA,KAROONDA EAST MURRAY (DISTRICT COUNCIL)
WANDAL,QLD,ROCKHAMPTON (REGIONAL COUNCIL)
WANDANA,SA,CEDUNA (DISTRICT COUNCIL)
WANDANA,WA,CHAPMAN VALLEY (SHIRE)
WANDANA HEIGHTS,VIC,GREATER GEELONG (CITY)
WANDANDIAN,NSW,SHOALHAVEN (CITY)
WANDEARAH EAST,SA,PORT PIRIE CITY AND DISTS (MUNICIPALITY)
WANDEARAH WEST,SA,PORT PIRIE CITY AND DISTS (MUNICIPALITY)
WANDELLA,NSW,BEGA VALLEY (AREA)
WANDELLA,VIC,GANNAWARRA (SHIRE)
WANDERA,NSW,INVERELL (AREA)
WANDERING,WA,WANDERING (SHIRE)
WANDI,WA,KWINANA (CITY)
WANDILIGONG,VIC,ALPINE (SHIRE)
WANDILLUP,WA,BRIDGETOWN-GREENBUSHES (SHIRE)
WANDILO,SA,GRANT (DISTRICT COUNCIL)
WANDIN EAST,VIC,YARRA RANGES (SHIRE)
WANDIN NORTH,VIC,YARRA RANGES (SHIRE)
WANDINA,WA,GREATER GERALDTON (CITY)
WANDO BRIDGE,VIC,GLENELG (SHIRE)
WANDO VALE,VIC,GLENELG (SHIRE)
WANDOAN,QLD,WESTERN DOWNS (REGIONAL COUNCIL)
WANDONG,VIC,MITCHELL (SHIRE)
WANDOOK,NSW,EDWARD RIVER (AREA)
WANDOWN,VIC,SWAN HILL (RURAL CITY)
WANDSWORTH,NSW,ARMIDALE REGIONAL (AREA)
WANERIE,WA,GINGIN (SHIRE)
WANG WAUK,NSW,MID-COAST (AREA)
WANGAN,QLD,CASSOWARY COAST (REGIONAL COUNCIL)
WANGANDARY,VIC,WANGARATTA (RURAL CITY)
WANGANELLA,NSW,EDWARD RIVER (AREA)
WANGANUI,NSW,BYRON (AREA)
WANGARA,WA,WANNEROO (CITY)
WANGARABELL,VIC,EAST GIPPSLAND (SHIRE)
WANGARATTA,QLD,BURDEKIN (SHIRE)
WANGARATTA,VIC,WANGARATTA (RURAL CITY)
WANGARATTA SOUTH,VIC,WANGARATTA (RURAL CITY)
WANGARY,SA,LOWER EYRE PENINSULA (DISTRICT COUNCIL)
WANGETTI,QLD,DOUGLAS (SHIRE)
WANGI WANGI,NSW,LAKE MACQUARIE (CITY)
WANGIE,VIC,BULOKE (SHIRE)
WANGOLINA,SA,KINGSTON (DISTRICT COUNCIL)
WANGOOM,VIC,MOYNE (SHIRE)
WANGURI,NT,DARWIN (CITY)
WANILLA,SA,LOWER EYRE PENINSULA (DISTRICT COUNCIL)
WANJURU,QLD,CASSOWARY COAST (REGIONAL COUNCIL)
WANNAMAL,WA,CHITTERING (SHIRE)
WANNANUP,WA,MANDURAH (CITY)
WANNEROO,WA,WANNEROO (CITY)
WANNIASSA,ACT,UNINCORPORATED
WANNON,VIC,SOUTHERN GRAMPIANS (SHIRE)
WANORA,QLD,SOMERSET (REGIONAL COUNCIL)
WANSBROUGH,WA,BROOMEHILL-TAMBELLUP (SHIRE)
WANTABADGERY,NSW,JUNEE (AREA)
WANTAGONG,NSW,GREATER HUME SHIRE (AREA)
WANTIOOL,NSW,JUNEE (AREA)
WANTIRNA,VIC,KNOX (CITY)
WANTIRNA SOUTH,VIC,KNOX (CITY)
WAPENGO,NSW,BEGA VALLEY (AREA)
WAPPILKA,SA,LOXTON WAIKERIE (DISTRICT COUNCIL)
WARABROOK,NSW,NEWCASTLE (CITY)
WARAMANGA,ACT,UNINCORPORATED
WARANA,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
WARANGA SHORES,VIC,CAMPASPE (SHIRE)
WARATAH,NSW,NEWCASTLE (CITY)
WARATAH,TAS,WARATAH/WYNYARD (MUNICIPALITY)
WARATAH BAY,VIC,SOUTH GIPPSLAND (SHIRE)
WARATAH WEST,NSW,NEWCASTLE (CITY)
WARAWARRUP,WA,HARVEY (SHIRE)
WARBURN,NSW,GRIFFITH (CITY)
WARBURTO,SA,COPPER COAST (DISTRICT COUNCIL)
WARBURTON,QLD,BOULIA (SHIRE)
WARBURTON,VIC,YARRA RANGES (SHIRE)
WARBURTON,WA,NGAANYATJARRAKU (SHIRE)
WARD,QLD,MURWEH (SHIRE)
WARD BELT,SA,LIGHT (REGIONAL COUNCIL)
WARD HILL,SA,BARUNGA WEST (DISTRICT COUNCIL)
WARDELL,NSW,BALLINA (AREA)
WARDERING,WA,CUBALLING (SHIRE)
WARDING EAST,WA,CUNDERDIN (SHIRE)
WARDROP VALLEY,NSW,TWEED (AREA)
WARDS MISTAKE,NSW,ARMIDALE REGIONAL (AREA)
WARDS RIVER,NSW,MID-COAST (AREA)
